game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
490132,2017-04-05,2017,Arizona Diamondbacks,San Francisco Giants,8.522581013518455,9.5,9.5,14,-0.9774189864815455,UNDER,False,False,-1.1,-0.0,
490145,2017-04-06,2017,Arizona Diamondbacks,San Francisco Giants,8.259503553114476,9.5,9.5,12,-1.2404964468855244,UNDER,False,False,-1.1,-0.0,
490193,2017-04-10,2017,San Francisco Giants,Arizona Diamondbacks,9.130507923246563,8.5,8.0,5,1.1305079232465634,OVER,False,False,-1.1,-0.5,0-0.5
490213,2017-04-11,2017,Washington Nationals,St. Louis Cardinals,9.391129747104715,8.5,8.5,11,0.8911297471047153,OVER,True,False,1.0,0.0,
490228,2017-04-12,2017,New York Yankees,Tampa Bay Rays,8.977979106618056,8.5,8.0,12,0.9779791066180561,OVER,True,False,1.0,-0.5,0-0.5
490232,2017-04-13,2017,San Francisco Giants,Colorado Rockies,7.8474371643183485,6.5,6.5,4,1.3474371643183485,OVER,False,False,-1.1,0.0,
490237,2017-04-13,2017,Kansas City Royals,Oakland Athletics,7.711320360584531,8.5,9.0,4,-1.2886796394154691,UNDER,True,False,1.0,-0.5,0-0.5
490234,2017-04-13,2017,Cincinnati Reds,Milwaukee Brewers,9.899821048513989,9.0,9.0,6,0.8998210485139886,OVER,False,False,-1.1,0.0,
490252,2017-04-14,2017,New York Yankees,St. Louis Cardinals,8.505457211246403,8.0,7.5,7,1.0054572112464033,OVER,False,False,-1.1,-0.5,0-0.5
490263,2017-04-15,2017,Miami Marlins,New York Mets,8.842885277503514,7.5,7.5,9,1.3428852775035143,OVER,True,False,1.0,0.0,
490283,2017-04-16,2017,Boston Red Sox,Tampa Bay Rays,8.151644280811722,9.0,9.5,12,-1.3483557191882785,UNDER,False,False,-1.1,-0.5,0-0.5
490291,2017-04-17,2017,St. Louis Cardinals,Pittsburgh Pirates,8.784193338044144,8.0,8.0,3,0.7841933380441439,OVER,False,False,-1.1,0.0,
490308,2017-04-18,2017,Oakland Athletics,Texas Rangers,8.152783176624624,7.0,7.0,6,1.1527831766246237,OVER,False,False,-1.1,0.0,
490318,2017-04-19,2017,Seattle Mariners,Miami Marlins,8.751170103843446,7.5,8.0,15,0.751170103843446,OVER,True,False,1.0,0.5,0-0.5
490344,2017-04-21,2017,San Diego Padres,Miami Marlins,8.763557680916263,7.5,8.0,8,0.7635576809162625,OVER,False,True,0.0,0.5,0-0.5
490346,2017-04-21,2017,Colorado Rockies,San Francisco Giants,10.34705528932931,10.5,9.0,11,1.34705528932931,OVER,True,False,1.0,-1.5,1.0-1.5
490360,2017-04-22,2017,Pittsburgh Pirates,New York Yankees,7.737927439116513,7.0,6.5,16,1.237927439116513,OVER,True,False,1.0,-0.5,0-0.5
490365,2017-04-22,2017,New York Mets,Washington Nationals,7.838334685372638,7.0,6.5,4,1.3383346853726383,OVER,False,False,-1.1,-0.5,0-0.5
490375,2017-04-23,2017,Pittsburgh Pirates,New York Yankees,8.351961309172513,8.0,7.5,3,0.8519613091725127,OVER,False,False,-1.1,-0.5,0-0.5
490378,2017-04-23,2017,Milwaukee Brewers,St. Louis Cardinals,7.372331049346841,8.5,8.5,10,-1.1276689506531588,UNDER,False,False,-1.1,-0.0,
490399,2017-04-25,2017,Los Angeles Angels,Oakland Athletics,7.181438448538617,8.5,8.5,3,-1.318561551461383,UNDER,True,False,1.0,-0.0,
490416,2017-04-26,2017,Detroit Tigers,Seattle Mariners,8.859895345695007,8.5,8.0,8,0.8598953456950067,OVER,False,True,0.0,-0.5,0-0.5
490418,2017-04-27,2017,St. Louis Cardinals,Toronto Blue Jays,8.564895489242344,8.0,7.5,10,1.0648954892423443,OVER,True,False,1.0,-0.5,0-0.5
490423,2017-04-27,2017,Philadelphia Phillies,Miami Marlins,9.281329019050634,7.5,8.5,5,0.7813290190506343,OVER,False,False,-1.1,1.0,0.5-1.0
490434,2017-04-28,2017,St. Louis Cardinals,Cincinnati Reds,8.985514586450222,8.0,8.0,12,0.9855145864502219,OVER,True,False,1.0,0.0,
