game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
490099,2017-04-02,2017,St. Louis Cardinals,Chicago Cubs,8.299947212280475,7.5,7.0,7,1.2999472122804754,OVER,False,True,0.0,-0.5,0-0.5
490111,2017-04-03,2017,Houston Astros,Seattle Mariners,9.278847168029989,8.0,8.5,3,0.7788471680299889,OVER,False,False,-1.1,0.5,0-0.5
490108,2017-04-03,2017,Boston Red Sox,Pittsburgh Pirates,9.568710754455768,9.0,8.5,8,1.0687107544557684,OVER,False,False,-1.1,-0.5,0-0.5
490119,2017-04-04,2017,Houston Astros,Seattle Mariners,9.760994384826862,8.5,8.5,3,1.260994384826862,OVER,False,False,-1.1,0.0,
490102,2017-04-04,2017,Chicago White Sox,Detroit Tigers,8.746098945678913,7.5,7.5,9,1.2460989456789129,OVER,True,False,1.0,0.0,
490132,2017-04-05,2017,Arizona Diamondbacks,San Francisco Giants,8.427378128112995,9.5,9.5,14,-1.072621871887005,UNDER,False,False,-1.1,-0.0,
490125,2017-04-05,2017,Minnesota Twins,Kansas City Royals,9.81140751654073,8.5,8.5,10,1.3114075165407293,OVER,True,False,1.0,0.0,
490145,2017-04-06,2017,Arizona Diamondbacks,San Francisco Giants,8.338770340027057,9.5,9.5,12,-1.1612296599729426,UNDER,False,False,-1.1,-0.0,
490141,2017-04-06,2017,Washington Nationals,Miami Marlins,10.070142219604694,8.5,9.0,7,1.0701422196046941,OVER,False,False,-1.1,0.5,0-0.5
490140,2017-04-06,2017,Oakland Athletics,Los Angeles Angels,8.808149765075886,8.5,8.0,6,0.8081497650758855,OVER,False,False,-1.1,-0.5,0-0.5
490149,2017-04-07,2017,Detroit Tigers,Boston Red Sox,9.027693222107136,8.0,8.0,11,1.0276932221071355,OVER,True,False,1.0,0.0,
490161,2017-04-07,2017,Tampa Bay Rays,Toronto Blue Jays,8.282956550659382,8.0,7.5,18,0.7829565506593816,OVER,True,False,1.0,-0.5,0-0.5
490172,2017-04-08,2017,Baltimore Orioles,New York Yankees,8.374184082092487,8.0,7.5,9,0.8741840820924871,OVER,True,False,1.0,-0.5,0-0.5
490166,2017-04-08,2017,St. Louis Cardinals,Cincinnati Reds,9.768844078125202,8.0,8.5,14,1.268844078125202,OVER,True,False,1.0,0.5,0-0.5
490171,2017-04-08,2017,Chicago White Sox,Minnesota Twins,9.827469299377643,8.5,9.0,8,0.8274692993776434,OVER,False,False,-1.1,0.5,0-0.5
490163,2017-04-08,2017,Pittsburgh Pirates,Atlanta Braves,9.30051369482442,7.5,8.5,10,0.8005136948244207,OVER,True,False,1.0,1.0,0.5-1.0
490178,2017-04-09,2017,Pittsburgh Pirates,Atlanta Braves,8.478241394104206,7.0,7.5,11,0.9782413941042059,OVER,True,False,1.0,0.5,0-0.5
490200,2017-04-10,2017,Colorado Rockies,San Diego Padres,12.340815971435749,11.0,11.0,8,1.3408159714357488,OVER,False,False,-1.1,0.0,
490201,2017-04-10,2017,Washington Nationals,St. Louis Cardinals,9.859512756408892,8.0,8.5,20,1.3595127564088916,OVER,True,False,1.0,0.5,0-0.5
