game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
745444,2024-03-20,2024-03-20T10:05:00Z,5150,Gocheok Sky Dome,San Diego Padres,Los Angeles Dodgers,135,119,2,5,7,506433,Yu Darvish,607192,Tyler Glasnow
746175,2024-03-21,2024-03-21T10:05:00Z,5150,Gocheok Sky Dome,Los Angeles Dodgers,San Diego Padres,119,135,11,15,26,808967,Yoshinobu Yamamoto,605397,Joe Musgrove
747060,2024-03-28,2024-03-28T19:05:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,110,108,11,3,14,669203,Corbin Burnes,663776,Patrick Sandoval
746737,2024-03-28,2024-03-28T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Washington Nationals,113,120,8,2,10,593423,Frankie Montas,680686,Josiah Gray
745445,2024-03-28,2024-03-28T20:10:00Z,2680,Petco Park,San Diego Padres,San Francisco Giants,135,137,6,4,10,506433,Yu Darvish,657277,Logan Webb
746165,2024-03-28,2024-03-28T20:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,119,138,7,1,8,607192,Tyler Glasnow,571945,Miles Mikolas
745116,2024-03-28,2024-03-28T20:10:00Z,12,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,139,141,2,8,10,621107,Zach Eflin,621244,José Berríos
746335,2024-03-28,2024-03-28T20:10:00Z,7,Kauffman Stadium,Kansas City Royals,Minnesota Twins,118,142,1,4,5,666142,Cole Ragans,641154,Pablo López
746821,2024-03-28,2024-03-28T20:10:00Z,4,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,145,116,0,1,1,676979,Garrett Crochet,669373,Tarik Skubal
746089,2024-03-28,2024-03-28T20:10:00Z,4169,loanDepot park,Miami Marlins,Pittsburgh Pirates,146,134,5,6,11,666200,Jesús Luzardo,656605,Mitch Keller
746418,2024-03-28,2024-03-28T20:10:00Z,2392,Minute Maid Park,Houston Astros,New York Yankees,117,147,4,5,9,664285,Framber Valdez,641482,Nestor Cortes
745039,2024-03-28,2024-03-28T23:35:00Z,5325,Globe Life Field,Texas Rangers,Chicago Cubs,140,112,4,3,7,543135,Nathan Eovaldi,657006,Justin Steele
745687,2024-03-28,2024-03-29T02:07:00Z,10,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,133,114,0,8,8,622072,Alex Wood,669456,Shane Bieber
747224,2024-03-28,2024-03-29T02:10:00Z,15,Chase Field,Arizona Diamondbacks,Colorado Rockies,109,115,16,1,17,668678,Zac Gallen,607536,Kyle Freeland
745283,2024-03-28,2024-03-29T02:10:00Z,680,T-Mobile Park,Seattle Mariners,Boston Red Sox,136,111,4,6,10,622491,Luis Castillo,678394,Brayan Bello
745848,2024-03-29,2024-03-29T17:40:00Z,3289,Citi Field,New York Mets,Milwaukee Brewers,121,158,1,3,4,500779,Jose Quintana,642547,Freddy Peralta
745604,2024-03-29,2024-03-29T19:05:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,143,144,3,9,12,554430,Zack Wheeler,675911,Spencer Strider
745117,2024-03-29,2024-03-29T22:50:00Z,12,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,139,141,8,2,10,650644,Aaron Civale,605135,Chris Bassitt
746091,2024-03-29,2024-03-29T23:10:00Z,4169,loanDepot park,Miami Marlins,Pittsburgh Pirates,146,134,2,7,9,640462,A.J. Puk,527048,Martín Pérez
746412,2024-03-29,2024-03-30T00:10:00Z,2392,Minute Maid Park,Houston Astros,New York Yankees,117,147,1,7,8,664299,Cristian Javier,607074,Carlos Rodón
747223,2024-03-29,2024-03-30T01:40:00Z,15,Chase Field,Arizona Diamondbacks,Colorado Rockies,109,115,7,3,10,518876,Merrill Kelly,615698,Cal Quantrill
745682,2024-03-29,2024-03-30T01:40:00Z,10,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,133,114,4,6,10,548389,Ross Stripling,671106,Logan Allen
745276,2024-03-29,2024-03-30T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Boston Red Sox,136,111,1,0,1,669923,George Kirby,601713,Nick Pivetta
745435,2024-03-29,2024-03-30T01:40:00Z,2680,Petco Park,San Diego Padres,San Francisco Giants,135,137,3,8,11,605397,Joe Musgrove,690986,Kyle Harrison
746167,2024-03-29,2024-03-30T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,119,138,6,3,9,676272,Bobby Miller,668868,Zack Thompson
745850,2024-03-30,2024-03-30T17:40:00Z,3289,Citi Field,New York Mets,Milwaukee Brewers,121,158,6,7,13,622663,Luis Severino,669084,DL Hall
746818,2024-03-30,2024-03-30T18:10:00Z,4,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,145,116,6,7,13,647336,Michael Soroka,628317,Kenta Maeda
747063,2024-03-30,2024-03-30T20:05:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,110,108,13,4,17,680570,Grayson Rodriguez,656288,Griffin Canning
745599,2024-03-30,2024-03-30T20:05:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,143,144,4,12,16,605400,Aaron Nola,608331,Max Fried
745684,2024-03-30,2024-03-30T20:07:00Z,10,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,133,114,3,12,15,676664,JP Sears,676440,Tanner Bibee
746736,2024-03-30,2024-03-30T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Washington Nationals,113,120,6,7,13,668881,Hunter Greene,571578,Patrick Corbin
745119,2024-03-30,2024-03-30T20:10:00Z,12,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,139,141,5,1,6,641793,Zack Littell,579328,Yusei Kikuchi
746333,2024-03-30,2024-03-30T20:10:00Z,7,Kauffman Stadium,Kansas City Royals,Minnesota Twins,118,142,1,5,6,607625,Seth Lugo,657746,Joe Ryan
746087,2024-03-30,2024-03-30T20:10:00Z,4169,loanDepot park,Miami Marlins,Pittsburgh Pirates,146,134,3,9,12,677960,Ryan Weathers,683003,Jared Jones
745037,2024-03-30,2024-03-30T23:05:00Z,5325,Globe Life Field,Texas Rangers,Chicago Cubs,140,112,11,2,13,674003,Cody Bradford,543294,Kyle Hendricks
745436,2024-03-30,2024-03-30T23:15:00Z,2680,Petco Park,San Diego Padres,San Francisco Giants,135,137,6,9,15,656302,Dylan Cease,663855,Jordan Hicks
746410,2024-03-30,2024-03-30T23:15:00Z,2392,Minute Maid Park,Houston Astros,New York Yankees,117,147,3,5,8,686613,Hunter Brown,573186,Marcus Stroman
747221,2024-03-30,2024-03-31T00:10:00Z,15,Chase Field,Arizona Diamondbacks,Colorado Rockies,109,115,4,9,13,674072,Tommy Henry,596295,Austin Gomber
746168,2024-03-30,2024-03-31T01:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,119,138,5,6,11,808967,Yoshinobu Yamamoto,458681,Lance Lynn
745278,2024-03-30,2024-03-31T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Boston Red Sox,136,111,4,3,7,669302,Logan Gilbert,676710,Kutter Crawford
747062,2024-03-31,2024-03-31T17:35:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,110,108,1,4,5,669330,Tyler Wells,672282,Reid Detmers
745602,2024-03-31,2024-03-31T17:35:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,143,144,5,4,9,624133,Ranger Suarez,519242,Chris Sale
746739,2024-03-31,2024-03-31T17:40:00Z,2602,Great American Ball Park,Cincinnati Reds,Washington Nationals,113,120,6,5,11,607259,Nick Martinez,663623,Jake Irvin
745115,2024-03-31,2024-03-31T17:40:00Z,12,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,139,141,2,9,11,542888,Shawn Armstrong,592332,Kevin Gausman
