date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2016-04-03,STL,PIT,St. Louis Cardinals,Pittsburgh Pirates,6.5,6.5,1,4,2016
2016-04-03,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,7.0,7.0,5,3,2016
2016-04-03,NYM,KAN,New York Mets,Kansas City Royals,7.0,8.0,3,4,2016
2016-04-04,SFO,MIL,San Francisco Giants,Milwaukee Brewers,7.0,8.0,12,3,2016
2016-04-04,WAS,ATL,Washington Nationals,Atlanta Braves,6.5,7.0,4,3,2016
2016-04-04,PHI,CIN,Philadelphia Phillies,Cincinnati Reds,8.5,7.5,2,6,2016
2016-04-04,LOS,SDG,LOS,San Diego Padres,5.5,6.0,15,0,2016
2016-04-04,COL,ARI,Colorado Rockies,Arizona Diamondbacks,7.0,8.0,10,5,2016
2016-04-04,MIN,BAL,Minnesota Twins,Baltimore Orioles,8.0,9.0,2,3,2016
2016-04-04,SEA,TEX,Seattle Mariners,Texas Rangers,7.5,8.0,2,3,2016
2016-04-04,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,7.5,8.5,5,3,2016
2016-04-04,CWS,OAK,Chicago White Sox,Oakland Athletics,6.0,7.0,4,3,2016
2016-04-04,CUB,LAA,Chicago Cubs,Los Angeles Angels,6.5,7.0,9,0,2016
2016-04-05,STL,PIT,St. Louis Cardinals,Pittsburgh Pirates,7.5,7.0,5,6,2016
2016-04-05,SFO,MIL,San Francisco Giants,Milwaukee Brewers,8.0,8.0,2,1,2016
2016-04-05,COL,ARI,Colorado Rockies,Arizona Diamondbacks,8.5,9.0,6,11,2016
2016-04-05,LOS,SDG,LOS,San Diego Padres,6.5,7.5,3,0,2016
2016-04-05,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,8.0,8.5,2,3,2016
2016-04-05,SEA,TEX,Seattle Mariners,Texas Rangers,8.5,9.0,10,2,2016
2016-04-05,CWS,OAK,Chicago White Sox,Oakland Athletics,7.5,7.5,5,4,2016
2016-04-05,NYM,KAN,New York Mets,Kansas City Royals,7.5,8.5,2,0,2016
2016-04-05,DET,MIA,Detroit Tigers,Miami Marlins,7.5,7.5,8,7,2016
2016-04-05,CUB,LAA,Chicago Cubs,Los Angeles Angels,7.5,7.5,6,1,2016
2016-04-05,HOU,NYY,Houston Astros,New York Yankees,7.0,6.5,5,3,2016
2016-04-05,BOS,CLE,Boston Red Sox,Cleveland Guardians,6.5,6.0,6,2,2016
2016-04-06,SFO,MIL,San Francisco Giants,Milwaukee Brewers,8.5,9.0,3,4,2016
2016-04-06,COL,ARI,Colorado Rockies,Arizona Diamondbacks,8.5,8.5,4,3,2016
2016-04-06,STL,PIT,St. Louis Cardinals,Pittsburgh Pirates,7.5,7.5,1,5,2016
2016-04-06,WAS,ATL,Washington Nationals,Atlanta Braves,7.5,7.0,3,1,2016
2016-04-06,PHI,CIN,Philadelphia Phillies,Cincinnati Reds,8.0,8.0,2,3,2016
2016-04-06,LOS,SDG,LOS,San Diego Padres,7.0,7.0,7,0,2016
2016-04-06,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,8.0,8.5,3,5,2016
2016-04-06,SEA,TEX,Seattle Mariners,Texas Rangers,9.0,9.5,9,5,2016
2016-04-06,BOS,CLE,Boston Red Sox,Cleveland Guardians,7.0,7.5,6,7,2016
2016-04-06,HOU,NYY,Houston Astros,New York Yankees,7.0,7.5,6,16,2016
2016-04-06,MIN,BAL,Minnesota Twins,Baltimore Orioles,8.5,8.5,2,4,2016
2016-04-06,CWS,OAK,Chicago White Sox,Oakland Athletics,7.0,8.0,1,2,2016
2016-04-06,DET,MIA,Detroit Tigers,Miami Marlins,7.0,7.0,7,3,2016
2016-04-07,PHI,CIN,Philadelphia Phillies,Cincinnati Reds,8.5,8.5,6,10,2016
2016-04-07,MIA,WAS,Miami Marlins,Washington Nationals,8.0,8.5,6,4,2016
2016-04-07,LOS,SFO,LOS,San Francisco Giants,7.0,8.0,6,12,2016
2016-04-07,CUB,ARI,Chicago Cubs,Arizona Diamondbacks,9.0,9.0,14,6,2016
2016-04-07,CWS,OAK,Chicago White Sox,Oakland Athletics,8.5,8.5,6,1,2016
2016-04-07,HOU,NYY,Houston Astros,New York Yankees,8.0,9.0,5,8,2016
2016-04-07,MIN,BAL,Minnesota Twins,Baltimore Orioles,8.5,8.5,2,4,2016
2016-04-07,TEX,LAA,Texas Rangers,Los Angeles Angels,8.0,8.0,3,4,2016
2016-04-08,PHI,NYM,Philadelphia Phillies,New York Mets,6.5,7.0,2,7,2016
2016-04-08,SDG,COL,San Diego Padres,Colorado Rockies,10.5,11.0,13,6,2016
2016-04-08,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,7.5,8.0,6,5,2016
2016-04-08,STL,ATL,St. Louis Cardinals,Atlanta Braves,7.0,7.0,7,4,2016
2016-04-08,CUB,ARI,Chicago Cubs,Arizona Diamondbacks,9.5,9.0,2,3,2016
2016-04-08,LOS,SFO,LOS,San Francisco Giants,8.0,8.5,2,3,2016
2016-04-08,NYY,DET,New York Yankees,Detroit Tigers,8.0,8.0,0,4,2016
2016-04-08,CLE,CWS,Cleveland Guardians,Chicago White Sox,8.5,8.0,7,1,2016
2016-04-08,TAM,BAL,Tampa Bay Rays,Baltimore Orioles,7.5,7.5,1,6,2016
2016-04-08,BOS,TOR,Boston Red Sox,Toronto Blue Jays,8.5,9.0,8,7,2016
2016-04-08,MIN,KAN,Minnesota Twins,Kansas City Royals,7.5,7.5,3,4,2016
2016-04-08,TEX,LAA,Texas Rangers,Los Angeles Angels,8.0,8.0,7,3,2016
2016-04-08,OAK,SEA,Oakland Athletics,Seattle Mariners,8.0,8.0,3,2,2016
2016-04-08,HOU,MIL,Houston Astros,Milwaukee Brewers,9.0,9.0,4,6,2016
2016-04-09,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,7.5,7.0,1,5,2016
2016-04-09,LOS,SFO,LOS,San Francisco Giants,6.0,6.0,3,2,2016
