date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2015-04-05,STL,CUB,St. Louis Cardinals,Chicago Cubs,7.5,7.0,3,0,2015
2015-04-06,COL,MIL,Colorado Rockies,Milwaukee Brewers,8.0,9.0,10,0,2015
2015-04-06,NYM,WAS,New York Mets,Washington Nationals,7.0,7.0,3,1,2015
2015-04-06,ATL,MIA,Atlanta Braves,Miami Marlins,7.0,7.0,2,1,2015
2015-04-06,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,7.0,7.0,2,5,2015
2015-04-06,SDG,LOS,San Diego Padres,LOS,6.0,6.0,3,6,2015
2015-04-06,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,7.5,7.5,5,4,2015
2015-04-06,TOR,NYY,Toronto Blue Jays,New York Yankees,8.0,8.0,6,1,2015
2015-04-06,MIN,DET,Minnesota Twins,Detroit Tigers,7.5,8.0,0,4,2015
2015-04-06,BAL,TAM,Baltimore Orioles,Tampa Bay Rays,7.5,7.0,6,2,2015
2015-04-06,CWS,KAN,Chicago White Sox,Kansas City Royals,7.5,7.5,1,10,2015
2015-04-06,LAA,SEA,Los Angeles Angels,Seattle Mariners,6.5,6.5,1,4,2015
2015-04-06,CLE,HOU,Cleveland Guardians,Houston Astros,7.5,7.5,0,2,2015
2015-04-06,TEX,OAK,Texas Rangers,Oakland Athletics,7.0,7.0,0,8,2015
2015-04-06,BOS,PHI,Boston Red Sox,Philadelphia Phillies,7.5,7.5,8,0,2015
2015-04-07,ATL,MIA,Atlanta Braves,Miami Marlins,7.0,7.0,12,2,2015
2015-04-07,COL,MIL,Colorado Rockies,Milwaukee Brewers,8.5,8.0,5,2,2015
2015-04-07,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,7.5,8.5,6,7,2015
2015-04-07,SDG,LOS,San Diego Padres,LOS,6.5,6.5,7,3,2015
2015-04-07,BAL,TAM,Baltimore Orioles,Tampa Bay Rays,7.5,7.0,6,5,2015
2015-04-07,TEX,OAK,Texas Rangers,Oakland Athletics,7.5,7.0,3,1,2015
2015-04-07,LAA,SEA,Los Angeles Angels,Seattle Mariners,7.5,7.0,2,0,2015
2015-04-08,STL,CUB,St. Louis Cardinals,Chicago Cubs,6.5,6.0,0,2,2015
2015-04-08,NYM,WAS,New York Mets,Washington Nationals,6.5,6.0,1,2,2015
2015-04-08,ATL,MIA,Atlanta Braves,Miami Marlins,7.5,7.5,2,0,2015
2015-04-08,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,7.0,7.5,4,5,2015
2015-04-08,COL,MIL,Colorado Rockies,Milwaukee Brewers,8.5,8.5,5,4,2015
2015-04-08,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,9.0,8.5,5,2,2015
2015-04-08,SDG,LOS,San Diego Padres,LOS,7.0,7.0,4,7,2015
2015-04-08,MIN,DET,Minnesota Twins,Detroit Tigers,8.0,8.5,0,11,2015
2015-04-08,TOR,NYY,Toronto Blue Jays,New York Yankees,7.5,6.5,3,4,2015
2015-04-08,BAL,TAM,Baltimore Orioles,Tampa Bay Rays,7.5,7.5,0,2,2015
2015-04-08,CWS,KAN,Chicago White Sox,Kansas City Royals,8.0,7.5,5,7,2015
2015-04-08,CLE,HOU,Cleveland Guardians,Houston Astros,8.0,8.5,2,0,2015
2015-04-08,TEX,OAK,Texas Rangers,Oakland Athletics,7.5,6.5,0,10,2015
2015-04-08,LAA,SEA,Los Angeles Angels,Seattle Mariners,7.0,7.0,5,3,2015
2015-04-08,BOS,PHI,Boston Red Sox,Philadelphia Phillies,8.0,7.5,2,4,2015
2015-04-09,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,8.0,8.0,2,3,2015
2015-04-09,NYM,WAS,New York Mets,Washington Nationals,6.0,6.0,6,3,2015
2015-04-09,SFO,SDG,San Francisco Giants,San Diego Padres,7.0,7.0,1,0,2015
2015-04-09,MIN,DET,Minnesota Twins,Detroit Tigers,8.5,9.0,1,7,2015
2015-04-09,CWS,KAN,Chicago White Sox,Kansas City Royals,8.5,8.5,1,4,2015
2015-04-09,CLE,HOU,Cleveland Guardians,Houston Astros,8.5,9.0,5,1,2015
2015-04-09,TEX,OAK,Texas Rangers,Oakland Athletics,7.5,7.5,10,1,2015
2015-04-09,TOR,NYY,Toronto Blue Jays,New York Yankees,8.0,7.5,6,3,2015
2015-04-09,BOS,PHI,Boston Red Sox,Philadelphia Phillies,8.0,7.5,6,2,2015
2015-04-10,CUB,COL,Chicago Cubs,Colorado Rockies,10.5,10.0,1,5,2015
2015-04-10,WAS,PHI,Washington Nationals,Philadelphia Phillies,7.5,7.5,1,4,2015
2015-04-10,STL,CIN,St. Louis Cardinals,Cincinnati Reds,8.0,8.0,4,5,2015
2015-04-10,NYM,ATL,New York Mets,Atlanta Braves,7.0,7.0,3,5,2015
2015-04-10,PIT,MIL,Pittsburgh Pirates,Milwaukee Brewers,8.0,7.5,6,2,2015
2015-04-10,LOS,ARI,LOS,Arizona Diamondbacks,8.5,8.5,3,4,2015
2015-04-10,SFO,SDG,San Francisco Giants,San Diego Padres,7.0,7.0,0,1,2015
2015-04-10,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,8.5,9.0,12,5,2015
2015-04-10,DET,CLE,Detroit Tigers,Cleveland Guardians,8.5,8.5,8,4,2015
2015-04-10,HOU,TEX,Houston Astros,Texas Rangers,8.5,8.0,5,1,2015
2015-04-10,MIN,CWS,Minnesota Twins,Chicago White Sox,9.0,9.0,6,0,2015
2015-04-10,BOS,NYY,Boston Red Sox,New York Yankees,7.5,8.5,6,5,2015
2015-04-10,KAN,LAA,Kansas City Royals,Los Angeles Angels,8.0,7.5,4,2,2015
2015-04-10,SEA,OAK,Seattle Mariners,Oakland Athletics,7.0,7.0,0,12,2015
2015-04-10,TAM,MIA,Tampa Bay Rays,Miami Marlins,7.5,7.5,9,10,2015
2015-04-11,STL,CIN,St. Louis Cardinals,Cincinnati Reds,6.5,6.5,4,1,2015
2015-04-11,WAS,PHI,Washington Nationals,Philadelphia Phillies,7.0,6.5,2,3,2015
