Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,236,1988,429,55,160,412,57,4.140350877192983,2020
"Arizona,Chicago,Minnesota",6,54,10,1,2,10,24,0.25,2020
"Arizona,Cincinnati",9,79,9,2,7,24,26,0.34615384615384615,2020
"Arizona,Miami",36,250,64,6,12,41,61,0.5901639344262295,2020
"Arizona,Oakland",7,99,17,3,8,25,31,0.22580645161290322,2020
Atlanta,348,2340,556,103,237,572,60,5.8,2020
"Atlanta,San Francisco",5,94,18,1,8,19,34,0.14705882352941177,2020
Baltimore,274,2242,523,77,164,514,54,5.074074074074074,2020
Boston,251,2045,486,66,164,493,57,4.4035087719298245,2020
"Boston,Cleveland",7,54,12,3,4,11,15,0.4666666666666667,2020
"Boston,Colorado",34,223,60,6,13,41,54,0.6296296296296297,2020
"Boston,San Diego",22,152,36,10,15,32,42,0.5238095238095238,2020
Chicago,558,4372,935,168,403,1112,60,9.3,2020
"Chicago,Detroit",8,101,23,1,7,25,32,0.25,2020
"Chicago,New York",10,36,4,1,2,7,31,0.3225806451612903,2020
"Chicago,Pittsburgh",9,66,11,0,4,11,32,0.28125,2020
"Chicago,Tampa Bay",10,98,16,2,10,27,34,0.29411764705882354,2020
Cincinnati,230,1988,377,87,225,491,60,3.8333333333333335,2020
"Cincinnati,Los Angeles",17,164,31,6,17,54,50,0.34,2020
"Cincinnati,Seattle",10,89,11,0,14,22,37,0.2702702702702703,2020
Cleveland,236,2141,427,58,234,495,60,3.933333333333333,2020
"Cleveland,San Diego",24,219,38,5,14,45,40,0.6,2020
Colorado,261,2160,500,61,156,525,59,4.423728813559322,2020
Detroit,243,2022,451,61,143,553,57,4.2631578947368425,2020
"Detroit,New York",2,22,4,0,2,2,9,0.2222222222222222,2020
Houston,279,2229,478,69,192,440,58,4.810344827586207,2020
Kansas City,235,2101,461,65,167,508,60,3.9166666666666665,2020
"Kansas City,San Diego",9,101,23,3,4,25,31,0.2903225806451613,2020
"Kansas City,Tampa Bay",10,59,10,2,8,15,35,0.2857142857142857,2020
Los Angeles,611,4318,962,193,430,888,58,10.53448275862069,2020
"Los Angeles,Oakland",36,256,57,5,27,27,55,0.6545454545454545,2020
"Los Angeles,San Diego",8,92,15,2,12,33,27,0.2962962962962963,2020
Miami,240,1927,416,54,179,483,59,4.067796610169491,2020
"Miami,Toronto",13,207,43,2,19,54,52,0.25,2020
Milwaukee,219,1959,386,66,199,515,59,3.711864406779661,2020
"Milwaukee,San Francisco",14,132,21,5,10,42,36,0.3888888888888889,2020
"Milwaukee,Seattle,Toronto",16,136,24,6,20,33,39,0.41025641025641024,2020
"Milwaukee,Washington",12,106,20,0,9,24,36,0.3333333333333333,2020
Minnesota,266,2144,463,91,185,526,57,4.666666666666667,2020
New York,586,4349,999,175,442,944,57,10.280701754385966,2020
"New York,Pittsburgh",6,36,7,2,3,9,15,0.4,2020
"New York,Texas",20,254,49,5,17,63,45,0.4444444444444444,2020
Oakland,248,2031,390,67,224,504,60,4.133333333333334,2020
Philadelphia,306,2223,500,82,229,480,60,5.1,2020
Pittsburgh,209,2048,411,58,160,506,58,3.603448275862069,2020
"Pittsburgh,Toronto",5,29,6,2,1,8,18,0.2777777777777778,2020
San Diego,280,1831,428,84,172,384,60,4.666666666666667,2020
"San Diego,Seattle",48,417,105,12,36,86,48,1.0,2020
San Francisco,294,2163,514,80,189,479,55,5.345454545454546,2020
Seattle,216,1801,351,50,167,466,60,3.6,2020
St. Louis,240,2011,410,51,205,477,58,4.137931034482759,2020
Tampa Bay,277,2160,451,77,229,581,56,4.946428571428571,2020
Texas,210,1977,389,60,152,510,58,3.6206896551724137,2020
Toronto,296,2163,500,87,193,477,60,4.933333333333334,2020
Washington,282,2148,502,66,187,436,59,4.779661016949152,2020
