game_pk,date,venue_name,temp_f,wind_mph,wind_deg,wind_out,is_dome
413702,2015-04-10,U.S. Cellular Field,,,,False,False
413649,2015-04-06,Safeco Field,,,,False,False
413652,2015-04-06,Citizens Bank Park,64.8,6.9,213.0,True,False
413682,2015-04-08,Chase Field,,0.0,,False,True
413672,2015-04-08,Marlins Park,,0.0,,False,True
413700,2015-04-10,Angel Stadium of Anaheim,,,,False,False
413678,2015-04-08,Comerica Park,47.4,7.6,40.0,False,False
413673,2015-04-08,Tropicana Field,,0.0,,False,True
413664,2015-04-07,Safeco Field,,,,False,False
413701,2015-04-10,Chase Field,,0.0,,False,True
413655,2015-04-06,Miller Park,,,,False,False
413688,2015-04-09,Minute Maid Park,,0.0,,False,True
413704,2015-04-10,Miller Park,,,,False,False
413668,2015-04-07,Dodger Stadium,53.5,6.3,212.0,False,False
413703,2015-04-10,Turner Field,,,,False,False
413679,2015-04-08,Nationals Park,47.3,5.6,74.0,False,False
413670,2015-04-07,O.co Coliseum,,,,False,False
413653,2015-04-06,Kauffman Stadium,62.8,3.8,126.0,False,False
413657,2015-04-06,Nationals Park,,,,False,False
413669,2015-04-07,Chase Field,,0.0,,False,True
413708,2015-04-10,Marlins Park,,0.0,,False,True
413651,2015-04-06,Tropicana Field,,0.0,,False,True
413667,2015-04-07,Miller Park,,,,False,False
413676,2015-04-08,Minute Maid Park,,0.0,,False,True
413654,2015-04-06,Minute Maid Park,,0.0,,False,True
413650,2015-04-06,Marlins Park,,0.0,,False,True
413677,2015-04-08,Miller Park,,,,False,False
413691,2015-04-09,Great American Ball Park,74.3,11.1,202.0,True,False
413661,2015-04-05,Wrigley Field,50.9,4.9,39.0,False,False
413658,2015-04-06,Great American Ball Park,66.9,4.0,214.0,True,False
413662,2015-04-06,O.co Coliseum,,,,False,False
413660,2015-04-06,Chase Field,,0.0,,False,True
413685,2015-04-08,Yankee Stadium,40.3,6.9,75.0,False,False
413665,2015-04-07,Marlins Park,,0.0,,False,True
413671,2015-04-08,Safeco Field,,,,False,False
413666,2015-04-07,Tropicana Field,,0.0,,False,True
413659,2015-04-06,Dodger Stadium,,,,False,False
413694,2015-04-09,O.co Coliseum,,,,False,False
413684,2015-04-08,O.co Coliseum,,,,False,False
413705,2015-04-10,O.co Coliseum,,,,False,False
413663,2015-04-06,Yankee Stadium,56.1,5.0,126.0,False,False
413680,2015-04-08,Great American Ball Park,64.6,3.0,163.0,False,False
413681,2015-04-08,Dodger Stadium,63.0,8.5,256.0,False,False
413693,2015-04-08,Wrigley Field,39.8,10.8,45.0,False,False
413717,2015-04-11,U.S. Cellular Field,,,,False,False
413720,2015-04-11,O.co Coliseum,,,,False,False
413674,2015-04-08,Citizens Bank Park,42.1,7.4,55.0,False,False
413723,2015-04-11,Marlins Park,,0.0,,False,True
413675,2015-04-08,Kauffman Stadium,72.3,14.2,185.0,False,False
413689,2015-04-09,Comerica Park,60.6,15.3,165.0,False,False
413718,2015-04-11,Turner Field,,,,False,False
413719,2015-04-11,Miller Park,,,,False,False
413656,2015-04-06,Comerica Park,54.1,5.3,144.0,False,False
413690,2015-04-09,Nationals Park,46.4,6.5,112.0,False,False
413716,2015-04-11,Chase Field,,0.0,,False,True
413692,2015-04-09,Petco Park,62.4,4.9,254.0,True,False
413715,2015-04-11,Angel Stadium of Anaheim,,,,False,False
413698,2015-04-10,Progressive Field,53.3,10.7,250.0,True,False
413686,2015-04-09,Citizens Bank Park,42.6,6.7,84.0,False,False
413738,2015-04-12,Marlins Park,,0.0,,False,True
413699,2015-04-10,Globe Life Park in Arlington,67.7,6.1,57.0,False,False
413707,2015-04-10,Great American Ball Park,61.3,6.4,245.0,True,False
413733,2015-04-12,Turner Field,,,,False,False
413732,2015-04-12,U.S. Cellular Field,,,,False,False
413734,2015-04-12,Miller Park,,,,False,False
413706,2015-04-10,Petco Park,61.3,5.6,277.0,True,False
413730,2015-04-12,Angel Stadium of Anaheim,,,,False,False
413735,2015-04-12,O.co Coliseum,,,,False,False
413695,2015-04-09,Yankee Stadium,40.2,4.9,90.0,False,False
413731,2015-04-12,Chase Field,,0.0,,False,True
413687,2015-04-09,Kauffman Stadium,50.1,19.3,286.0,False,False
413696,2015-04-10,Yankee Stadium,56.5,6.9,237.0,False,False
413697,2015-04-10,Coors Field,55.9,2.1,122.0,False,False
413709,2015-04-10,Oriole Park at Camden Yards,61.5,1.4,321.0,False,False
413710,2015-04-10,Citizens Bank Park,60.4,6.6,242.0,False,False
413722,2015-04-11,Great American Ball Park,58.7,2.2,37.0,False,False
413711,2015-04-11,Yankee Stadium,51.1,7.9,320.0,True,False
413744,2015-04-13,AT&T Park,,,,False,False
413724,2015-04-11,Oriole Park at Camden Yards,57.1,5.9,317.0,False,False
413753,2015-04-13,Rogers Centre,,0.0,,False,True
413747,2015-04-13,Turner Field,,,,False,False
413725,2015-04-11,Citizens Bank Park,56.4,5.9,299.0,False,False
413714,2015-04-11,Globe Life Park in Arlington,72.9,6.3,98.0,False,False
413750,2015-04-13,Minute Maid Park,,0.0,,False,True
413713,2015-04-11,Progressive Field,51.3,2.7,215.0,True,False
413712,2015-04-11,Coors Field,64.0,3.7,163.0,False,False
413721,2015-04-11,Petco Park,63.4,5.2,275.0,True,False
413728,2015-04-12,Progressive Field,56.6,5.5,55.0,False,False
413737,2015-04-12,Great American Ball Park,69.9,3.0,138.0,False,False
413766,2015-04-14,Rogers Centre,,0.0,,False,True
413739,2015-04-12,Oriole Park at Camden Yards,58.7,7.0,143.0,False,False
413740,2015-04-12,Citizens Bank Park,59.8,5.6,196.0,True,False
413761,2015-04-14,Turner Field,,,,False,False
413729,2015-04-12,Globe Life Park in Arlington,74.7,7.6,122.0,False,False
413736,2015-04-12,Petco Park,64.8,4.5,237.0,True,False
413763,2015-04-14,Minute Maid Park,,0.0,,False,True
413751,2015-04-13,Citi Field,55.8,14.5,179.0,False,False
413754,2015-04-13,Fenway Park,56.4,13.3,193.0,False,False
413759,2015-04-14,AT&T Park,,,,False,False
413726,2015-04-12,Yankee Stadium,54.7,6.4,162.0,False,False
413775,2015-04-15,Turner Field,,,,False,False
413745,2015-04-13,PNC Park,71.3,6.6,198.0,False,False
413746,2015-04-13,Target Field,59.0,9.8,287.0,False,False
413748,2015-04-13,Busch Stadium,62.3,7.9,15.0,False,False
413727,2015-04-12,Coors Field,58.9,5.6,5.0,False,False
413781,2015-04-15,Rogers Centre,,0.0,,False,True
413749,2015-04-13,Oriole Park at Camden Yards,63.7,14.4,161.0,False,False
413741,2015-04-13,Globe Life Park in Arlington,65.8,12.5,22.0,True,False
413778,2015-04-15,Minute Maid Park,,0.0,,False,True
413743,2015-04-13,Wrigley Field,59.5,5.2,280.0,True,False
413742,2015-04-13,Petco Park,62.9,5.7,281.0,True,False
413752,2015-04-13,Dodger Stadium,69.5,6.9,237.0,False,False
413767,2015-04-14,Fenway Park,57.0,5.1,178.0,False,False
413772,2015-04-15,AT&T Park,,,,False,False
413760,2015-04-14,PNC Park,57.0,4.8,11.0,False,False
413782,2015-04-15,Fenway Park,,,,False,False
413765,2015-04-14,Dodger Stadium,,,,False,False
413788,2015-04-16,Rogers Centre,,0.0,,False,True
413756,2015-04-14,Petco Park,,,,False,False
413783,2015-04-16,AT&T Park,,,,False,False
413768,2015-04-15,Globe Life Park in Arlington,,,,False,False
413777,2015-04-15,Oriole Park at Camden Yards,,,,False,False
413771,2015-04-15,Wrigley Field,,,,False,False
413779,2015-04-15,Citi Field,,,,False,False
413791,2015-04-17,Rogers Centre,,0.0,,False,True
413770,2015-04-15,Progressive Field,,,,False,False
413773,2015-04-15,PNC Park,,,,False,False
413799,2015-04-17,Tropicana Field,,0.0,,False,True
413789,2015-04-17,Minute Maid Park,,0.0,,False,True
413774,2015-04-15,Target Field,,,,False,False
413776,2015-04-15,Busch Stadium,,,,False,False
413786,2015-04-16,Busch Stadium,,,,False,False
413769,2015-04-15,Petco Park,,,,False,False
413803,2015-04-17,Safeco Field,,,,False,False
413790,2015-04-17,AT&T Park,,,,False,False
413784,2015-04-16,Target Field,,,,False,False
413806,2015-04-18,Rogers Centre,,0.0,,False,True
413780,2015-04-15,Dodger Stadium,,,,False,False
413787,2015-04-16,Nationals Park,,,,False,False
413785,2015-04-16,Citi Field,,,,False,False
413797,2015-04-17,Citi Field,,,,False,False
413798,2015-04-17,PNC Park,,,,False,False
413801,2015-04-17,Nationals Park,,,,False,False
413804,2015-04-18,Minute Maid Park,,0.0,,False,True
413793,2015-04-17,Comerica Park,,,,False,False
413800,2015-04-17,Kauffman Stadium,,,,False,False
413814,2015-04-18,Tropicana Field,,0.0,,False,True
413805,2015-04-18,AT&T Park,,,,False,False
413792,2015-04-17,Fenway Park,,,,False,False
413818,2015-04-18,Safeco Field,,,,False,False
413821,2015-04-19,Rogers Centre,,0.0,,False,True
413802,2015-04-17,Wrigley Field,,,,False,False
413795,2015-04-17,Target Field,,,,False,False
413829,2015-04-19,Tropicana Field,,0.0,,False,True
413794,2015-04-17,Busch Stadium,,,,False,False
413808,2015-04-18,Comerica Park,,,,False,False
413810,2015-04-18,Target Field,,,,False,False
413819,2015-04-19,Minute Maid Park,,0.0,,False,True
413816,2015-04-18,Nationals Park,,,,False,False
413796,2015-04-17,Dodger Stadium,,,,False,False
413764,2015-04-14,Citi Field,56.3,3.1,184.0,False,False
413820,2015-04-19,AT&T Park,,,,False,False
413757,2015-04-14,Progressive Field,51.1,5.8,28.0,False,False
413833,2015-04-19,Safeco Field,,,,False,False
413762,2015-04-14,Oriole Park at Camden Yards,52.1,4.2,32.0,False,False
413755,2015-04-14,Globe Life Park in Arlington,60.4,6.0,292.0,False,False
413758,2015-04-14,Wrigley Field,50.6,6.2,77.0,False,False
413836,2015-04-20,Miller Park,,,,False,False
413809,2015-04-18,Busch Stadium,72.6,4.1,96.0,False,False
413837,2015-04-20,U.S. Cellular Field,,,,False,False
413817,2015-04-18,Wrigley Field,45.6,11.8,15.0,False,False
413841,2015-04-20,Angel Stadium of Anaheim,,,,False,False
413838,2015-04-20,Safeco Field,,,,False,False
413813,2015-04-18,PNC Park,68.5,6.5,352.0,False,False
413807,2015-04-18,Fenway Park,53.7,11.1,28.0,False,False
413815,2015-04-18,Kauffman Stadium,63.0,4.5,110.0,False,False
413844,2015-04-21,Rogers Centre,,0.0,,False,True
413822,2015-04-19,Fenway Park,47.2,8.3,142.0,False,False
413845,2015-04-21,Tropicana Field,,0.0,,False,True
413827,2015-04-19,Citi Field,48.1,7.9,135.0,False,False
413831,2015-04-19,Nationals Park,55.8,10.8,77.0,False,False
413848,2015-04-21,U.S. Cellular Field,,,,False,False
413847,2015-04-21,Miller Park,,,,False,False
413812,2015-04-18,Citi Field,67.8,9.9,198.0,False,False
413857,2015-04-21,Chase Field,,0.0,,False,True
413854,2015-04-21,Angel Stadium of Anaheim,,,,False,False
413849,2015-04-21,Safeco Field,,,,False,False
413850,2015-04-21,AT&T Park,,,,False,False
413863,2015-04-22,U.S. Cellular Field,,,,False,False
413823,2015-04-19,Comerica Park,54.6,17.8,97.0,False,False
413811,2015-04-18,Dodger Stadium,72.0,6.0,236.0,False,False
413828,2015-04-19,PNC Park,57.7,11.9,120.0,True,False
413859,2015-04-22,Rogers Centre,,0.0,,False,True
413830,2015-04-19,Kauffman Stadium,55.3,14.9,310.0,False,False
413860,2015-04-22,Tropicana Field,,0.0,,False,True
413832,2015-04-19,Wrigley Field,50.8,10.9,62.0,False,False
413825,2015-04-19,Target Field,50.1,11.5,307.0,False,False
413862,2015-04-22,Miller Park,,,,False,False
413826,2015-04-19,Dodger Stadium,70.0,7.5,243.0,False,False
413872,2015-04-22,Chase Field,,0.0,,False,True
413869,2015-04-22,Angel Stadium of Anaheim,,,,False,False
413864,2015-04-22,Safeco Field,,,,False,False
413865,2015-04-22,AT&T Park,,,,False,False
413824,2015-04-19,Busch Stadium,62.3,7.0,264.0,False,False
413840,2015-04-20,Comerica Park,51.4,20.2,251.0,False,False
413835,2015-04-20,PNC Park,64.5,9.4,265.0,False,False
413839,2015-04-20,Kauffman Stadium,56.1,10.6,288.0,False,False
413877,2015-04-23,Miller Park,,,,False,False
413842,2015-04-20,Coors Field,48.2,1.5,63.0,False,False
413879,2015-04-23,AT&T Park,,,,False,False
413856,2015-04-21,Nationals Park,63.3,4.7,253.0,True,False
413882,2015-04-23,Angel Stadium of Anaheim,,,,False,False
413874,2015-04-23,Rogers Centre,,0.0,,False,True
413875,2015-04-23,Tropicana Field,,0.0,,False,True
413878,2015-04-23,U.S. Cellular Field,,,,False,False
413846,2015-04-21,PNC Park,54.5,10.9,226.0,False,False
413853,2015-04-21,Comerica Park,49.7,15.7,253.0,False,False
413851,2015-04-21,Citizens Bank Park,61.4,5.7,259.0,False,False
413843,2015-04-21,Citi Field,58.6,10.0,258.0,False,False
413866,2015-04-22,Citizens Bank Park,56.9,10.9,259.0,False,False
413898,2015-04-24,Tropicana Field,,0.0,,False,True
413899,2015-04-24,Marlins Park,,0.0,,False,True
413890,2015-04-24,U.S. Cellular Field,,,,False,False
413896,2015-04-24,Miller Park,,,,False,False
413871,2015-04-22,Nationals Park,59.6,6.3,312.0,True,False
413894,2015-04-24,Chase Field,,0.0,,False,True
413889,2015-04-24,O.co Coliseum,,,,False,False
413897,2015-04-24,Angel Stadium of Anaheim,,,,False,False
413855,2015-04-21,Coors Field,57.2,4.5,357.0,True,False
413892,2015-04-24,Safeco Field,,,,False,False
413861,2015-04-22,PNC Park,45.5,10.4,284.0,False,False
413904,2015-04-25,O.co Coliseum,,,,False,False
413868,2015-04-22,Comerica Park,41.2,20.0,284.0,False,False
413914,2015-04-25,Marlins Park,,0.0,,False,True
413913,2015-04-25,Tropicana Field,,0.0,,False,True
413852,2015-04-21,Kauffman Stadium,64.1,6.7,264.0,False,False
413870,2015-04-22,Coors Field,60.6,5.2,227.0,False,False
